Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
1904,20140917  3:01AM UTC,Walmart Works with AutoInsurance.com to Drive into Kentucky with New Auto Insurance Comparison Shopping Site,"('AutoInsurance.com', 'Drive into', 'Kentucky')",AutoInsurance.com,Drive into,Kentucky,AutoInsurance.com Drive into,Drive into Kentucky,AutoInsurance.com Drive into Kentucky,0.6199949999999887,0.08000199999999325
1905,20140917  3:01AM UTC,Walmart Works With AutoInsurance.com to Drive Into Indiana with New Auto Insurance Comparison Shopping Site,"('Walmart Works', 'is With', 'AutoInsurance.com to Drive Into Indiana with New Auto Insurance Comparison Shopping Site')",Walmart Works,is With,AutoInsurance.com to Drive Into Indiana with New Auto Insurance Comparison Shopping Site,Walmart Works is With,is With AutoInsurance.com to Drive Into Indiana with New Auto Insurance Comparison Shopping Site,Walmart Works is With AutoInsurance.com to Drive Into Indiana with New Auto Insurance Comparison Shopping Site,0.6199949999999887,0.08000199999999325
1906,20140917  3:01AM UTC,Walmart Works with AutoInsurance.com to Drive into California with New Auto Insurance Comparison Shopping Site,"('AutoInsurance.com', 'Drive with', 'New Auto Insurance Comparison Shopping Site')",AutoInsurance.com,Drive with,New Auto Insurance Comparison Shopping Site,AutoInsurance.com Drive with,Drive with New Auto Insurance Comparison Shopping Site,AutoInsurance.com Drive with New Auto Insurance Comparison Shopping Site,0.6199949999999887,0.08000199999999325
1907,20140917  3:01AM UTC,Walmart Works With AutoInsurance.com to Drive Into Illinois with New Auto Insurance Comparison Shopping Site,"('Walmart Works', 'is With', 'AutoInsurance.com to Drive Into Illinois with New Auto Insurance Comparison Shopping Site')",Walmart Works,is With,AutoInsurance.com to Drive Into Illinois with New Auto Insurance Comparison Shopping Site,Walmart Works is With,is With AutoInsurance.com to Drive Into Illinois with New Auto Insurance Comparison Shopping Site,Walmart Works is With AutoInsurance.com to Drive Into Illinois with New Auto Insurance Comparison Shopping Site,0.6199949999999887,0.08000199999999325
1908,20140923  8:00AM UTC,LeapFrog's New LeapTVâ¢ Selected As One Of The Hottest Holiday Toys On Walmart's 'Chosen By Kids Top 20 Toys List',"('Walmart', 'On', 'Chosen')",Walmart,On,Chosen,Walmart On,On Chosen,Walmart On Chosen,0.6199949999999887,0.08000199999999325
1909,20140925  9:17PM UTC,Federal investigators to review Ohio Walmart shooting,"('Federal investigators', 'review', 'Ohio Walmart shooting')",Federal investigators,review,Ohio Walmart shooting,Federal investigators review,review Ohio Walmart shooting,Federal investigators review Ohio Walmart shooting,0.6199949999999887,0.08000199999999325
1911,20140925  3:46PM UTC,"Atlanta Community Food Bank Teams With Walmart, Feeding America to ""Fight Hunger. Spark Change.""","('Atlanta Community Food Bank Teams', 'is With', 'Walmart')",Atlanta Community Food Bank Teams,is With,Walmart,Atlanta Community Food Bank Teams is With,is With Walmart,Atlanta Community Food Bank Teams is With Walmart,0.6199949999999887,0.08000199999999325
1912,20140925  12:01AM UTC,Green Dotâs GoBank Checking Account Launches Exclusively at Walmart,"('€', 's', 'GoBank Checking Account')",€,s,GoBank Checking Account,€ s,s GoBank Checking Account,€ s GoBank Checking Account,0.6199949999999887,0.08000199999999325
1913,20140926  1:26PM UTC,"BLACK ENTERPRISE And Walmart Host Forum On Supplier Diversity On Wednesday, October 1, In Atlanta","('Atlanta', 'In Wednesday is', 'October 1')",Atlanta,In Wednesday is,October 1,Atlanta In Wednesday is,In Wednesday is October 1,Atlanta In Wednesday is October 1,0.6199949999999887,0.08000199999999325
1914,20140930  8:55AM UTC,Instagram CEO and Co-Founder Kevin Systrom Joins Walmartâs Board of Directors,"('Co-Founder Kevin Systrom', 'Joins', 'Walmartâ € s Board of Directors')",Co-Founder Kevin Systrom,Joins,Walmartâ € s Board of Directors,Co-Founder Kevin Systrom Joins,Joins Walmartâ € s Board of Directors,Co-Founder Kevin Systrom Joins Walmartâ € s Board of Directors,0.6199949999999887,0.08000199999999325
1916,20141001  9:05AM UTC,Delightibles Gourmet Cat Treats Launch Nationwide at Walmart,"('Delightibles Gourmet Cat', 'Treats Launch Nationwide at', 'Walmart')",Delightibles Gourmet Cat,Treats Launch Nationwide at,Walmart,Delightibles Gourmet Cat Treats Launch Nationwide at,Treats Launch Nationwide at Walmart,Delightibles Gourmet Cat Treats Launch Nationwide at Walmart,0.6199949999999887,0.08000199999999325
1917,20141003  8:00AM UTC,"Walmart to Carry Two Arnold Schwarzenegger(TM) Series Nutritional Products in 3,500 U.S. Stores","('Walmart', 'Carry', 'Two Arnold Schwarzenegger Series Nutritional Products')",Walmart,Carry,Two Arnold Schwarzenegger Series Nutritional Products,Walmart Carry,Carry Two Arnold Schwarzenegger Series Nutritional Products,Walmart Carry Two Arnold Schwarzenegger Series Nutritional Products,0.6199949999999887,0.08000199999999325
1918,20141007  12:01PM UTC,Walmart Announces New Commitment to a Sustainable Food System at Global Milestone Meeting,"('Walmart', 'Announces', 'New Commitment')",Walmart,Announces,New Commitment,Walmart Announces,Announces New Commitment,Walmart Announces New Commitment,0.6199949999999887,0.08000199999999325
1919,20141007  10:58AM UTC,Walmart Names VTechÂ®'s KidizoomÂ® Smartwatch And Go! Go! Smart WheelsÂ® Ultimate Amazement Park Playsetâ¢ To Kid-Selected Holiday Toy List,"('®', 'has', 'KidizoomÂ Smartwatch')",®,has,KidizoomÂ Smartwatch,® has,has KidizoomÂ Smartwatch,® has KidizoomÂ Smartwatch,0.6199949999999887,0.08000199999999325
1920,20141007  12:01AM UTC,Walmart Works with DirectHealth.com to Introduce Comprehensive Health Insurance Program,"('DirectHealth.com', 'Introduce', 'Comprehensive Health Insurance Program')",DirectHealth.com,Introduce,Comprehensive Health Insurance Program,DirectHealth.com Introduce,Introduce Comprehensive Health Insurance Program,DirectHealth.com Introduce Comprehensive Health Insurance Program,0.6199949999999887,0.08000199999999325
1921,20141008  10:00AM UTC,Walmart Introduces Cancer Care Benefits for Associates at Mayo Clinic,"('Walmart', 'Introduces', 'Cancer Care Benefits')",Walmart,Introduces,Cancer Care Benefits,Walmart Introduces,Introduces Cancer Care Benefits,Walmart Introduces Cancer Care Benefits,0.6199949999999887,0.08000199999999325
1922,20141015  11:08AM UTC,BioTerra Herbs Launches Non-GMO Supplements At Select Walmart And Walgreens Stores www.BioTerraHerbs.com,"('BioTerra Herbs', 'Launches', 'Supplements')",BioTerra Herbs,Launches,Supplements,BioTerra Herbs Launches,Launches Supplements,BioTerra Herbs Launches Supplements,0.6199949999999887,0.08000199999999325
1924,20141016  3:17PM UTC,Walmart will accelerate investments in e-commerce and moderate global square footage growth,"('Walmart', 'will accelerate', 'investments in e-commerce')",Walmart,will accelerate,investments in e-commerce,Walmart will accelerate,will accelerate investments in e-commerce,Walmart will accelerate investments in e-commerce,0.6199949999999887,0.08000199999999325
1925,20141016  9:14AM UTC,Walmart CEO Outlines Growth Strategy at Annual Meeting for the Investment Community,"('Walmart CEO', 'Outlines Growth Strategy for', 'Investment Community')",Walmart CEO,Outlines Growth Strategy for,Investment Community,Walmart CEO Outlines Growth Strategy for,Outlines Growth Strategy for Investment Community,Walmart CEO Outlines Growth Strategy for Investment Community,0.6199949999999887,0.08000199999999325
1928,20141029  12:01AM UTC,Walmart to Offer âCall of Duty: Advanced Warfareâ a Day Early on Nov. 3,"('Walmart', 'Offer', 'â € Call')",Walmart,Offer,â € Call,Walmart Offer,Offer â € Call,Walmart Offer â € Call,0.6199949999999887,0.08000199999999325
1929,20141030  5:00AM UTC,"Health 2.0 Announces Walmart, Qualcomm Life, and The U.S. Food and Drug Administration Taking Steps Into The New Consumer Health Landscape During WinterTech 2015","('Walmart', 'Health', 'U.S. Food Administration Taking')",Health 2.0,Announces,Walmart,Health 2.0 Announces,Announces Walmart,Health 2.0 Announces Walmart,0.6199949999999887,0.08000199999999325
1930,20141101  9:05AM UTC,"New Offers, New Product Lineup, Quarterly Earnings Releases, Branding, and Upcoming Events - Research Reports on Walmart, Starbucks, Wynn, Time Warner and CBS","('New Product Lineup', 'Reports on', 'Walmart')",New Product Lineup,Reports on,Walmart,New Product Lineup Reports on,Reports on Walmart,New Product Lineup Reports on Walmart,0.6199949999999887,0.08000199999999325
1931,20141101  12:01AM UTC,Walmart Says Holiday Savings Start Now,"('Walmart', 'Says', 'Holiday Savings Start')",Walmart,Says,Holiday Savings Start,Walmart Says,Says Holiday Savings Start,Walmart Says Holiday Savings Start,0.6199949999999887,0.08000199999999325
