Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
11051,20130910  1:55PM UTC,Google loses bid to dismiss lawsuit over Street View,"('bid', 'dismiss', 'lawsuit over Street View')",bid,dismiss,lawsuit over Street View,bid dismiss,dismiss lawsuit over Street View,bid dismiss lawsuit over Street View,3.1332700000000386,0.3088379999999802
11054,20130910  9:00AM UTC,"Consumer Watchdog Urges European Commission To Charge Google In Antitrust Probe; Latest Settlement Proposal from Internet Giant Is ""An Attempt To Obfuscate And Delay""","('Settlement Proposal', 'Is', 'Attempt')",Settlement Proposal,Is,Attempt,Settlement Proposal Is,Is Attempt,Settlement Proposal Is Attempt,3.1332700000000386,0.3088379999999802
11055,20130910  9:00AM UTC,EdX Announces Partnership with Google to Expand Open Source Platform,"('EdX', 'Announces', 'Partnership')",EdX,Announces,Partnership,EdX Announces,Announces Partnership,EdX Announces Partnership,3.1332700000000386,0.3088379999999802
11056,20130911  3:50PM UTC,"Apple, Google back in court over mobile phone patent lawsuit","('mobile phone patent lawsuit', 'over Apple is', 'Google')",mobile phone patent lawsuit,over Apple is,Google,mobile phone patent lawsuit over Apple is,over Apple is Google,mobile phone patent lawsuit over Apple is Google,-0.7372440000000324,3.745941000000016
11057,20130911  3:40PM UTC,"Apple, Google back in court over mobile phone patent lawsuit","('mobile phone patent lawsuit', 'over Apple is', 'Google')",mobile phone patent lawsuit,over Apple is,Google,mobile phone patent lawsuit over Apple is,over Apple is Google,mobile phone patent lawsuit over Apple is Google,-0.7372440000000324,3.745941000000016
11058,20130911  1:32PM UTC,Rockwood Capital and Four Corners Properties Lease Office Campus to Google Inc. at the Former Mayfield Mall in Mountain View,"('Former Mayfield Mall', 'is in', 'Mountain View')",Former Mayfield Mall,is in,Mountain View,Former Mayfield Mall is in,is in Mountain View,Former Mayfield Mall is in Mountain View,-0.7372440000000324,3.745941000000016
11060,20130912  1:27PM UTC,"Google adds Galapagos Islands to the increasingly poorly named âstreet view,â and itâs gorgeous","('Google', 'adds â to', 'named â ˜ street view')",Google,adds â to,named â ˜ street view,Google adds â to,adds â to named â ˜ street view,Google adds â to named â ˜ street view,4.413453000000004,-1.559143000000006
11061,20130912  12:43PM UTC,ObservePoint Updates Its Tag Debugger Plugin for Google Chrome,"('ObservePoint', 'Updates', 'Its Tag')",ObservePoint,Updates,Its Tag,ObservePoint Updates,Updates Its Tag,ObservePoint Updates Its Tag,4.413453000000004,-1.559143000000006
11062,20130913  2:24PM UTC,Pentagon Ends Sweetheart Fuel Deal For Google Execs' Aircraft At Moffett Highlighted By Consumer Watchdog Two Years Ago; Group Calls For Eviction and Legal Probe,"('Pentagon', 'Ends Sweetheart Fuel Deal For', ""Google Execs ' Aircraft By Consumer Watchdog Two Years Ago"")",Pentagon,Ends Sweetheart Fuel Deal For,Google Execs ' Aircraft By Consumer Watchdog Two Years Ago,Pentagon Ends Sweetheart Fuel Deal For,Ends Sweetheart Fuel Deal For Google Execs ' Aircraft By Consumer Watchdog Two Years Ago,Pentagon Ends Sweetheart Fuel Deal For Google Execs ' Aircraft By Consumer Watchdog Two Years Ago,-1.4445799999999736,-1.9875490000000013
11066,20130916  11:00AM UTC,Eyesight Test with Google Glass,"('Eyesight Test', 'is with', 'Google Glass')",Eyesight Test,is with,Google Glass,Eyesight Test is with,is with Google Glass,Eyesight Test is with Google Glass,0.8468319999999494,-0.6525570000000016
11068,20130916  9:00AM UTC,"Issuu, the Worldâs Fastest-Growing Digital Publishing Platform Expands from Europe to Silicon Valley, Hires Chief Executive Officer and Appoints Google Executive to Board","('Issuu', 'Appoints', 'Google Executive')",Issuu,Appoints,Google Executive,Issuu Appoints,Appoints Google Executive,Issuu Appoints Google Executive,0.8468319999999494,-0.6525570000000016
11069,20130916  8:00AM UTC,IDC Announces New Competitive Intelligence Research: Google Strategic Advisory Service,"('IDC', 'Announces', 'New Competitive Intelligence Research')",IDC,Announces,New Competitive Intelligence Research,IDC Announces,Announces New Competitive Intelligence Research,IDC Announces New Competitive Intelligence Research,0.8468319999999494,-0.6525570000000016
11070,20130917  4:08PM UTC,Media Advisory: Minister Oliver to Deliver Remarks to Google ThinkEnergy Summit,"('Minister Oliver', 'Deliver', 'Remarks')",Minister Oliver,Deliver,Remarks,Minister Oliver Deliver,Deliver Remarks,Minister Oliver Deliver Remarks,-4.378601000000003,-0.8219300000000089
11071,20130917  1:28PM UTC,Koupon Media Integrates with Google Wallet,"('Koupon Media', 'Integrates with', 'Google Wallet')",Koupon Media,Integrates with,Google Wallet,Koupon Media Integrates with,Integrates with Google Wallet,Koupon Media Integrates with Google Wallet,-4.378601000000003,-0.8219300000000089
11073,20130917  9:00AM UTC,"Gartner Symposium/ITxpo 2013 Mastermind Keynotes to Include Microsoftâs Steve Ballmer, Googleâs Eric Schmidt and MondelÄz Internationalâs Mark N. Dajani","('Microsoftâ € s Steve Ballmer', 'Internationalâ', 'MondelÄ')",Microsoftâ € s Steve Ballmer,Internationalâ,MondelÄ,Microsoftâ € s Steve Ballmer Internationalâ,Internationalâ MondelÄ,Microsoftâ € s Steve Ballmer Internationalâ MondelÄ,-4.378601000000003,-0.8219300000000089
11075,20130917  6:00AM UTC,Acacia Subsidiary Enters into Agreement with Google Inc.,"('Acacia Subsidiary', 'Enters into', 'Agreement')",Acacia Subsidiary,Enters into,Agreement,Acacia Subsidiary Enters into,Enters into Agreement,Acacia Subsidiary Enters into Agreement,-4.378601000000003,-0.8219300000000089
11078,20130918  2:36PM UTC,UPDATE 1-Google to form health company led by Genentech chairman,"('health company', 'led by', 'Genentech chairman')",health company,led by,Genentech chairman,health company led by,led by Genentech chairman,health company led by Genentech chairman,-0.528015000000039,8.572875999999951
11080,20130918  12:26PM UTC,"Google to create new health firm, headed by Genentech chairman","('Google', 'create', 'health firm')",Google,create,health firm,Google create,create health firm,Google create health firm,-0.528015000000039,8.572875999999951
11081,20130918  10:01AM UTC,New Carmel Car and Limousine App Selected as a T-Mobile 'Top Pick' on the Google Android Store,"('Limousine App', 'Selected as', ""T Mobile ' Top Pick"")",Limousine App,Selected as,T Mobile ' Top Pick,Limousine App Selected as,Selected as T Mobile ' Top Pick,Limousine App Selected as T Mobile ' Top Pick,-0.528015000000039,8.572875999999951
11083,20130918  9:30AM UTC,"Francesca's Holdings, Mentor Graphics, Nokia, Microsoft and Google highlighted as Zacks Bull and Bear of the Day","('Francesca', 'has', 'Holdings')",Francesca,has,Holdings,Francesca has,has Holdings,Francesca has Holdings,-0.528015000000039,8.572875999999951
